ID	kingdom	clade	phylum	class	subclass	order	family	genus	species	region	depth	size_fraction
MS-all-SRF-20-180-00_bin-86	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	MS-all	SRF	20-180-00
MS-all-SRF-0-8-5-00_bin-16	.	Sar	.	Chrysophyceae	.	Chromulinales	Paraphysomonadaceae	Paraphysomonas	Paraphysomonas bandaiensis	MS-all	SRF	0-8-5-00
RS-all-SRF-0-8-5-00_bin-55	Viridiplantae	.	Chlorophyta	.	.	.	Pycnococcaceae	Pycnococcus	Pycnococcus provasolii	RS-all	SRF	0-8-5-00
IO-all-SRF-0-8-5-00_bin-223	.	Sar	.	Dinophyceae	.	.	.	.	.	IO-all	SRF	0-8-5-00
NAO-all-SRF-0-8-5-00_bin-662	.	Sar	Bacillariophyta	Bacillariophyceae	.	Bacillariales	Bacillariaceae	Cylindrotheca	Cylindrotheca closterium	NAO-all	SRF	0-8-5-00
RS-all-SRF-20-180-00_bin-27	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	RS-all	SRF	20-180-00
SPO-SPSG-SRF-0-8-5-00_bin-581	.	Prymnesiophyceae	Haptista	Haptophyta	.	Prymnesiales	Prymnesiaceae	Chrysochromulina	Chrysochromulina rotalis	SPO-SPSG	SRF	0-8-5-00
SPO-SPSG-SRF-0-8-5-00_bin-565	Metazoa	Opisthokonta	.	Choanoflagellata	.	Craspedida	Salpingoecidae	Salpingoeca	Salpingoeca rosetta	SPO-SPSG	SRF	0-8-5-00
IO-all-SRF-20-180-00_bin-92	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	IO-all	SRF	20-180-00
SPO-all-DCM-0-8-5-00_bin-501	.	Sar	.	.	.	.	.	.	.	SPO-all	DCM	0-8-5-00
SPO-all-SRF-20-180-00_bin-188	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	SPO-all	SRF	20-180-00
SPO-all-SRF-20-180-00_bin-111	Metazoa	Opisthokonta	Mollusca	Gastropoda	Heterobranchia	Aplysiida	Aplysiidae	Aplysia	Aplysia californica	SPO-all	SRF	20-180-00
SPO-SPSG-MES-0-8-5-00_bin-179	Fungi	Opisthokonta	Ascomycota	Leotiomycetes	.	Helotiales	Mollisiaceae	Rhynchosporium	Rhynchosporium commune	SPO-SPSG	MES	0-8-5-00
SPO-SPSG-SRF-180-2000-00_bin-10	Metazoa	Opisthokonta	Chordata	.	.	.	.	.	.	SPO-SPSG	SRF	180-2000-00
NAO-all-DCM-0-8-5-00_bin-110	Viridiplantae	.	Chlorophyta	Mamiellophyceae	.	Mamiellales	Bathycoccaceae	Ostreococcus	Ostreococcus sp. 'lucimarinus'	NAO-all	DCM	0-8-5-00
NPO-all-DCM-20-180-00_bin-49	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Harpacticoida	Harpacticidae	Tigriopus	Tigriopus californicus	NPO-all	DCM	20-180-00
NAO-all-SRF-0-8-5-00_bin-411	.	.	Proteobacteria	Deltaproteobacteria	.	Myxococcales	.	.	.	NAO-all	SRF	0-8-5-00
SAO-all-SRF-0-8-5-00_bin-545	.	Sar	.	.	.	.	.	.	.	SAO-all	SRF	0-8-5-00
MS-all-DCM-0-8-5-00_bin-442	.	Sar	.	.	.	.	.	.	.	MS-all	DCM	0-8-5-00
SAO-all-DCM-0-8-5-00_bin-409	Viridiplantae	.	Chlorophyta	Mamiellophyceae	.	Mamiellales	Mamiellaceae	Micromonas	Micromonas pusilla	SAO-all	DCM	0-8-5-00
SO-all-SRF-0-8-5-00_bin-45	.	Prymnesiophyceae	Haptista	Haptophyta	.	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica	SO-all	SRF	0-8-5-00
MS-all-DCM-5-20-00_bin-31	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	MS-all	DCM	5-20-00
SPO-all-SRF-20-180-00_bin-51	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	.	.	.	.	SPO-all	SRF	20-180-00
SPO-SPSG-SRF-20-180-00_bin-127	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	.	.	.	.	SPO-SPSG	SRF	20-180-00
IO-all-SRF-0-8-5-00_bin-484	.	Sar	.	.	.	.	.	.	.	IO-all	SRF	0-8-5-00
NPO-all-DCM-20-180-00_bin-34	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	.	.	.	.	NPO-all	DCM	20-180-00
IO-all-SRF-20-180-00_bin-119	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	.	.	.	.	IO-all	SRF	20-180-00
NAO-all-SRF-0-8-5-00_bin-516	.	Opisthokonta	.	Choanoflagellata	.	Craspedida	Salpingoecidae	Salpingoeca	Salpingoeca rosetta	NAO-all	SRF	0-8-5-00
MS-all-DCM-0-8-5-00_bin-53	Viridiplantae	.	Chlorophyta	Mamiellophyceae	.	Mamiellales	Mamiellaceae	Micromonas	Micromonas pusilla	MS-all	DCM	0-8-5-00
NAO-all-MES-0-8-5-00_bin-290	.	Amoebozoa	Discosea	Flabellinia	.	.	Vannellidae	Vannella	Vannella sp. CB-2014	NAO-all	MES	0-8-5-00
SAO-all-SRF-0-8-5-00_bin-538	.	Sar	.	Bigyra	Labyrinthulomycetes	Thraustochytrida	Thraustochytriaceae	Aplanochytrium	.	SAO-all	SRF	0-8-5-00
SPO-SPSG-SRF-0-8-5-00_bin-427	.	Sar	.	Dinophyceae	.	.	.	.	.	SPO-SPSG	SRF	0-8-5-00
IO-all-SRF-180-2000-00_bin-62	Metazoa	Opisthokonta	Arthropoda	.	.	.	.	.	.	IO-all	SRF	180-2000-00
SPO-all-SRF-0-8-5-00_bin-825	.	Sar	Bacillariophyta	Coscinodiscophyceae	Chaetocerotophycidae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	Chaetoceros neogracilis	SPO-all	SRF	0-8-5-00
IO-all-DCM-0-8-5-00_bin-320	Viridiplantae	core chlorophytes	Chlorophyta	.	.	.	.	.	.	IO-all	DCM	0-8-5-00
SPO-all-SRF-0-8-5-00_bin-505	.	Sar	.	Dictyochophyceae	.	Pedinellales	.	Florenciella	Florenciella parvula	SPO-all	SRF	0-8-5-00
SPO-all-SRF-20-180-00_bin-129	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	.	.	.	.	SPO-all	SRF	20-180-00
NAO-all-SRF-20-180-00_bin-42	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	NAO-all	SRF	20-180-00
